aluno	rede	escola	turma	port	sexo
71	1	31063274	7	459.94	2
72	1	31063274	7	458.65	2
73	1	31063274	7	469.65	2
74	1	31063274	8	469.65	2
75	1	31063274	8	376.84	2
76	1	31063274	8	399.79	2
77	1	31063274	8	432.8	2
78	1	31063274	8	488.98	2
79	1	31063274	8	485.74	1
80	1	31063274	8	476.79	1
81	1	31063274	8	458.77	1
82	1	31063274	8	469.63	1
83	1	31063274	8	409.77	1
84	1	31063274	8	417.73	1
85	1	31063274	8	442.25	1
86	1	31063274	8	430.68	1
87	1	31063282	9	419.52	1
88	1	31063282	9	373.28	1
89	1	31063282	9	497.2	1
90	1	31063282	9	530.64	1
91	1	31063282	9	624.29	1
92	1	31063282	9	460.07	1
93	1	31063282	9	462.19	1
94	1	31063282	9	373.7	1
95	1	31063282	9	450.47	1
96	1	31063282	9	473.04	1
97	1	31063282	10	446.81	1
98	1	31063282	10	562.48	2
99	1	31063282	10	449.92	2
100	1	31063282	10	430.29	2
101	1	31063738	11	387.35	2
102	1	31063738	11	291.93	2
103	1	31063738	11	356.83	2
104	1	31063738	11	394.87	2
105	1	31063738	11	306.83	2
106	1	31063738	11	295.28	2
107	1	31063738	11	306.16	2
108	1	31063738	11	438.85	2
109	1	31063738	11	359.1	2
110	1	31063738	11	415.91	2
111	1	31063738	12	315.5	2
112	1	31063738	12	435.51	2
113	1	31063738	12	468.38	2
114	1	31063738	12	357.4	2
115	1	31063738	12	449.99	2
116	1	31063738	12	283.81	2
117	1	31063738	12	442.55	2
118	1	31063738	12	415.3	1
119	1	31063738	12	337.86	1
120	1	31063738	12	316.41	1
121	1	31063738	12	546.78	1
122	1	31063738	12	595.88	1
123	1	31063738	13	543.12	1
124	1	31063738	13	517.26	1
125	1	31063738	13	414.46	1
126	1	31063738	13	440.15	1
127	1	31063738	13	479.45	1
128	1	31079375	14	574.16	1
129	1	31079375	14	574.16	1
130	1	31079375	14	574.16	1
131	1	31079375	14	355.98	1
132	1	31079375	14	328.29	1
133	1	31079375	14	348.93	1
134	1	31079375	14	353.81	1
135	1	31079375	14	529.97	1
136	1	31079375	14	339.94	1
137	1	31079375	14	362.07	2
138	1	31079375	14	578.02	2
139	1	31079375	15	518.08	2
140	1	31079375	15	515.37	2
141	1	31079375	15	490.6	2
142	1	31079375	15	495.9	2
143	1	31079375	15	461.47	2
144	1	31079375	15	388.37	2
145	1	31079375	15	446.39	2
146	1	31079375	15	469.92	2
147	1	31079375	15	479.63	2
148	1	31079375	15	407.55	2
149	1	31079375	15	422.93	2
150	1	31079375	16	435.35	2
151	1	31079375	16	394.46	2
152	1	31079375	16	441.29	2
153	1	31079375	16	441.29	2
154	1	31079502	17	675.44	2
155	1	31079502	17	541.11	2
156	1	31079502	17	455.47	2
157	1	31079502	17	609.3	1
158	1	31079502	17	503.93	1
159	1	31079502	17	429.24	1
160	1	31079502	17	465.23	1
161	1	31079502	17	416.83	1
162	1	31079502	17	376.03	1
163	1	31079502	17	435.05	1
164	1	31079502	17	443.97	1
165	1	31079502	17	486.58	1
166	1	31079502	17	547.62	1
167	1	31079502	17	366.47	1
168	1	31079502	17	423.74	1
169	1	31079502	17	578.8	1
170	1	31079502	17	522.86	1
171	1	31079502	17	489.3	1
172	1	31079502	17	507.35	1
173	1	31079570	18	562.33	1
174	1	31079570	18	531.61	1
175	1	31079570	18	653.73	1
176	1	31079570	18	621.79	2
177	1	31079570	18	653.73	2
178	1	31079570	18	653.73	2
179	1	31079570	18	621.05	2
180	1	31079570	18	596.48	2
181	1	31079570	18	599.64	2
182	1	31079570	18	621.05	2
183	1	31079570	18	621.05	2
184	1	31079570	18	605.19	2
185	1	31079570	18	621.05	2
186	1	31079570	18	599.64	2
187	1	31079570	18	589.58	2
188	1	31079570	18	530.7	2
189	1	31079570	19	525.74	2
190	1	31079570	19	590.42	2
191	1	31079570	19	623.18	2
192	1	31079570	19	575.03	2
193	1	31079570	19	575.03	2
194	1	31079570	19	623.18	2
195	1	31079570	19	547.06	2
196	1	31079570	19	599.84	1
197	1	31079570	19	676.75	1
198	1	31079570	19	565.67	1
199	1	31079570	19	676.75	1
200	1	31079570	19	485.86	1
201	1	31079570	19	590.42	1
202	1	31079570	19	542.3	1
203	1	31079570	19	522.83	1
204	1	31079570	20	517.54	1
205	1	31079570	20	506.81	1
206	1	31079570	20	532.3	1
207	1	31079570	20	623.18	1
208	1	31079570	20	525.74	1
209	1	31079570	20	553.94	1
210	1	31079570	20	547.68	1
211	1	31079618	21	474.27	1
212	1	31079618	21	491.23	1
213	1	31079618	21	452.89	1
214	1	31079618	21	400.26	1
215	1	31079618	21	407.98	2
216	1	31079618	21	347.04	2
217	1	31079618	21	383.54	2
218	1	31079618	21	446	2
219	1	31079618	21	315.3	2
220	1	31079618	21	358.75	2
221	1	31079618	21	478.6	2
222	1	31079618	21	457.42	2
223	1	31079618	22	381.24	2
224	1	31079618	22	421.57	2
225	1	31079618	22	373.64	2
226	1	31079618	22	502.92	2
227	1	31079618	22	504.45	2
228	1	31079618	22	463.58	2
229	1	31079618	22	550.72	2
230	1	31079618	22	418.53	2
231	1	31079651	23	527.52	2
232	1	31079651	23	581.87	2
233	1	31079651	23	612.37	2
234	1	31079651	23	560.18	2
235	1	31079651	23	604.57	1
236	1	31079651	23	612.37	1
237	1	31079651	23	582.84	1
238	1	31079651	23	539.66	1
239	1	31079651	23	465.66	1
240	1	31079651	23	655.07	1
241	1	31079651	23	439.6	1
242	1	31079651	23	493.88	1
243	1	31079651	23	507.14	1
244	1	31079651	23	571.8	1
245	1	31079651	23	444.97	1
246	1	31079782	24	349.43	1
247	1	31079782	24	410.43	1
248	1	31079782	24	498.45	1
249	1	31079782	24	595.3	1
250	1	31079782	24	373.37	1
251	1	31079782	24	654.2	1
252	1	31079782	24	475.55	1
253	1	31079782	24	567.03	1
254	1	31079782	24	475.32	2
255	1	31079782	24	604.13	2
256	1	31079782	24	457.99	2
257	1	31079782	24	518.14	2
258	1	31079782	24	485.34	2
259	1	31079782	24	481.93	2
260	1	31079782	25	654.2	2
261	1	31079782	25	482.57	2
262	1	31079782	25	502.96	2
263	1	31079782	25	465.14	2
264	1	31079782	25	435.68	2
265	1	31079782	25	397.05	2
266	1	31079782	25	471.03	2
267	1	31079782	25	321.02	2
268	1	31079782	25	475.82	2
269	1	31079782	25	456.91	2
270	1	31079782	25	575.58	2
271	1	31079782	25	543.47	2
272	1	31079901	26	663.93	2
273	1	31079901	26	663.93	2
274	1	31079901	26	620.45	1
275	1	31079901	26	663.93	1
276	1	31079901	26	663.93	1
277	1	31079901	26	498.91	1
278	1	31079901	26	541.03	1
279	1	31079901	26	620.45	1
280	1	31079901	26	610.71	1
281	1	31079901	26	663.93	1
282	1	31079901	26	663.93	1
283	1	31079901	26	663.93	1
284	1	31079901	26	600.68	1
285	1	31079901	26	663.93	1
286	1	31079901	26	663.93	1
287	1	31079901	27	663.93	1
288	1	31079901	27	663.93	1
289	1	31079901	27	663.93	1
290	1	31079901	27	663.93	1
291	1	31079901	27	663.93	1
292	1	31079901	27	663.93	1
293	1	31079901	27	663.93	2
294	1	31079901	27	663.93	2
295	1	31079995	28	547.06	2
296	1	31079995	28	615.37	2
297	1	31079995	28	531.07	2
298	1	31079995	28	613.25	2
299	1	31079995	28	606.72	2
300	1	31079995	28	686.91	2
301	1	31079995	28	588.47	2
302	1	31079995	28	489.19	2
303	1	31079995	28	606.72	2
304	1	31079995	28	545.32	2
305	1	31079995	28	560.01	2
306	1	31079995	28	551.94	2
307	1	31079995	28	488.26	2
308	1	31079995	28	538.38	2
309	1	31079995	28	542.49	2
310	1	31079995	28	606.72	2
311	1	31079995	28	459.96	2
312	1	31080292	29	493.09	2
313	1	31080292	29	331.63	1
314	1	31080292	29	588.08	1
315	1	31080292	29	525.43	1
316	1	31080292	29	588.08	1
317	1	31080292	29	528.07	1
318	1	31080292	29	588.08	1
319	1	31080292	29	459.84	1
320	1	31080292	29	588.08	1
321	1	31080292	29	588.08	1
322	1	31080292	29	588.08	1
323	1	31080292	29	588.08	1
324	1	31080292	29	588.08	1
325	1	31080292	29	588.08	1
326	1	31080292	29	447.37	1
327	1	31080292	29	655.37	1
328	1	31080292	29	655.37	1
329	1	31080292	30	616.38	1
330	1	31080292	30	614.22	1
331	1	31080292	30	693.01	1
332	1	31080292	30	498.21	2
333	1	31080292	30	509.2	2
334	1	31080292	30	428.97	2
335	1	31080292	30	547.38	2
336	1	31080292	30	693.01	2
337	1	31080357	31	643.64	2
338	1	31080357	31	552.25	2
339	1	31080357	31	643.64	2
340	1	31080357	31	643.64	2
341	1	31080357	31	587.78	2
342	1	31080357	31	643.64	2
343	1	31080357	31	643.64	2
344	1	31080357	31	643.64	2
345	1	31080357	31	643.64	2
346	1	31080357	31	643.64	2
347	1	31080357	32	643.64	2
348	1	31080357	32	643.64	2
349	1	31080357	32	643.64	2
350	1	31080357	32	564.09	2
351	1	31080357	32	643.64	2
352	1	31080357	32	643.64	1
353	1	31080357	32	643.64	1
354	1	31080357	32	643.64	1
355	1	31080357	32	548.36	1
356	1	31080357	32	596.11	1
357	1	31080357	32	643.64	1
358	1	31080357	33	473.8	1
359	1	31080357	33	513.17	1
360	1	31080357	33	629.55	1
361	1	31080357	33	499.29	1
362	1	31080357	33	421.23	1
363	1	31080357	33	592.58	1
364	1	31080357	33	592.58	1
365	1	31080357	33	592.58	1
366	1	31080357	33	612.92	1
367	1	31080357	33	592.58	1
368	1	31080357	33	592.58	1
369	1	31080357	33	590.86	1
370	1	31080357	33	577.47	1
371	1	31080357	33	410.94	2
372	1	31080357	33	577.47	2
373	1	31080357	33	556.24	2
374	1	31080357	33	440.03	2
375	1	31080357	33	471.94	2
376	1	31080357	33	476.73	2
377	1	31080357	33	431.54	2
378	1	31080357	33	607.81	2
379	1	31080918	34	465.15	2
380	1	31080918	34	324.55	2
381	1	31080918	34	456.93	2
382	1	31080918	34	422.76	2
383	1	31080918	34	528.6	2
384	1	31080918	34	493.73	2
385	1	31080918	34	524.13	2
386	1	31080918	34	384.32	2
387	1	31080918	34	474.48	2
388	1	31080918	34	527.99	2
389	1	31080918	34	375.07	2
390	1	31080918	34	469.22	2
391	1	31080918	34	436.13	1
392	1	31080918	34	408.52	1
393	1	31080918	34	416.79	1
394	1	31080918	34	536.54	1
395	1	31080918	34	434.21	1
396	1	31080918	34	466.25	1
397	1	31080918	34	285.78	1
398	1	31082619	35	507.17	1
399	1	31082619	35	387.03	1
400	1	31082619	35	382.63	1
401	1	31082619	35	460.88	1
402	1	31082619	35	480.08	1
403	1	31082619	35	378.46	1
404	1	31082619	35	379.84	1
405	1	31082619	35	471.86	1
406	1	31082619	35	402.96	1
407	1	31082619	35	371.67	1
408	1	31082619	35	412.24	1
409	1	31082619	35	380.33	1
410	1	31082619	35	509.1	2
411	1	31082619	35	373.16	2
412	1	31082619	35	505.79	2
413	1	31082619	35	456.36	2
414	1	31082619	36	434.61	2
415	1	31082619	36	538.11	2
416	1	31082619	36	554.24	2
417	1	31082619	36	443.48	2
418	1	31083097	37	619.04	2
419	1	31083097	37	479.67	2
420	1	31083097	37	523.25	2
421	1	31083097	37	560.48	2
422	1	31083097	37	553.99	2
423	1	31083097	37	520.31	2
424	1	31083097	37	581.51	2
425	1	31083097	37	501.86	2
426	1	31083097	37	478.67	2
427	1	31083097	37	489.54	2
428	1	31083097	38	546.62	2
429	1	31083097	38	510.87	2
430	1	31083097	38	488.41	1
431	1	31083097	38	486.39	1
432	1	31083097	38	515	1
433	1	31083097	38	559.09	1
434	1	31083097	38	651.44	1
435	1	31083097	38	473.81	1
436	1	31083097	38	452.47	1
437	1	31083097	38	450.52	1
438	1	31083097	38	518.92	1
439	1	31083097	38	550.28	1
440	1	31083097	38	475.95	1
441	1	31083097	38	600.9	1
442	1	31083097	38	449.12	1
443	1	31083097	38	399.78	1
444	1	31083097	38	527.77	1
445	1	31083097	38	627.23	1
446	1	31083097	38	580.47	1
447	1	31083097	38	500.02	1
448	1	31083097	38	514.49	1
449	1	31083097	39	461.91	2
450	1	31083097	39	391.45	2
451	1	31083097	39	420.15	2
452	1	31083097	39	442.07	2
453	1	31083097	39	407.31	2
454	1	31083097	39	418.2	2
455	1	31083097	39	495.37	2
456	1	31083097	39	493.77	2
457	1	31083097	39	435.93	2
458	1	31083097	39	405.74	2
459	1	31083097	39	511.35	2
460	1	31083097	39	372.76	2
461	1	31083097	39	494.49	2
462	1	31083097	39	335.28	2
463	1	31083097	40	394.14	2
464	1	31083097	40	390.12	2
465	1	31083097	40	459.42	2
466	1	31083097	40	400.67	2
467	1	31083097	40	480.38	2
468	1	31083097	40	402.75	2
469	1	31083097	40	388.28	1
470	1	31083097	40	421.85	1
471	1	31083097	40	431.78	1
472	1	31083097	40	528.94	1
473	1	31083097	40	522.45	1
474	1	31083097	40	527.08	1
475	1	31083097	40	571.87	1
476	1	31083097	40	515.62	1
477	1	31083097	41	473.3	1
478	1	31083097	41	510.33	1
479	1	31083097	41	494.6	1
480	1	31083097	41	524.83	1
481	1	31083097	41	585.28	1
482	1	31083097	41	585.28	1
483	1	31083097	41	476.35	1
484	1	31083097	41	559.58	1
485	1	31083097	41	537.2	1
486	1	31083097	41	526.91	1
487	1	31083097	41	341.33	1
488	1	31083097	41	508.84	2
489	1	31083097	41	354.51	2
490	1	31083097	41	365.64	2
491	1	31083097	41	346.36	2
492	1	31083097	41	594.43	2
493	1	31083097	41	559.58	2
494	1	31083097	41	483.78	2
495	1	31083097	41	536.48	2
496	1	31083097	41	501.47	2
497	1	31083097	41	512.07	2
498	1	31083097	41	661.43	2
499	1	31083097	41	490.4	2
500	1	31083097	41	573.32	2
501	1	31085481	42	667.09	2
502	1	31085481	42	589.2	2
503	1	31085481	42	562.95	2
504	1	31085481	42	297.07	2
505	1	31085481	42	589.2	2
506	1	31085481	42	480.67	2
507	1	31085481	42	667.09	2
508	1	31085481	42	602.38	1
509	1	31085481	42	498.67	1
510	1	31085481	42	483.1	1
511	1	31085481	42	453.48	1
512	1	31085481	42	520.16	1
513	1	31085481	43	555.73	1
514	1	31085481	43	473.85	1
515	1	31085481	43	638.52	1
516	1	31085481	43	619.86	1
517	1	31085481	43	667.08	1
518	1	31085481	43	667.08	1
519	1	31085481	43	667.08	1
520	1	31085481	43	585.38	1
521	1	31085481	43	559.96	1
522	1	31085481	43	511.7	1
523	1	31085481	43	521.55	1
524	1	31085481	43	514.87	1
525	1	31085481	43	365.21	1
526	1	31085481	43	387.38	1
527	1	31085481	44	255.09	2
528	1	31085481	44	351.71	2
529	1	31085481	44	491.64	2
530	1	31085481	44	438.89	2
531	1	31085481	44	568.03	2
532	1	31085481	44	577.86	2
533	1	31085481	44	503.27	2
534	1	31085481	44	315.3	2
535	1	31085481	44	492.52	2
536	1	31085481	44	501.81	2
537	1	31085481	44	458.63	2
538	1	31085481	44	354.8	2
539	1	31085481	44	490.45	2
540	1	31085481	44	485.27	2
541	1	31085481	44	376.25	2
542	1	31085481	44	459.91	2
543	1	31085481	45	283.36	2
544	1	31085481	45	317.09	2
545	1	31085481	45	468.56	2
546	1	31085481	45	440.68	2
547	1	31085481	45	471.03	1
548	1	31085481	45	401.73	1
549	1	31085481	45	441.11	1
550	1	31085481	45	491.29	1
551	1	31085481	45	364.84	1
552	1	31085481	45	414.02	1
553	1	31085481	45	448.04	1
554	1	31085481	45	458.55	1
555	1	31085481	45	422.26	1
556	1	31085481	45	426.2	1
557	1	31085481	45	386.89	1
558	1	31085481	45	306.53	1
559	1	31085481	45	388.45	1
560	1	31085481	45	376.64	1
561	1	31085481	45	372.86	1
562	1	31085481	46	373.61	1
563	1	31085481	46	357.51	1
564	1	31085481	46	349.92	1
565	1	31085481	46	341.62	1
566	1	31085481	46	306.3	2
567	1	31085481	46	461.83	2
568	1	31085481	46	446.17	2
569	1	31085481	46	556.21	2
570	1	31085481	46	498.48	2
571	1	31085481	46	388.19	2
572	1	31085481	46	313.55	2
573	1	31085481	46	332.11	2
574	1	31085481	46	404.05	2
575	1	31085481	46	598.94	2
576	1	31085481	46	430.58	2
577	1	31085481	46	479.73	2
578	1	31085481	46	313.89	2
579	1	31085481	46	398.93	2
580	1	31085481	46	431.12	2
581	1	31085481	46	336.62	2
582	1	31085481	46	497.45	2
583	1	31085481	46	490.2	2
584	1	31085481	46	403.46	2
585	1	31085481	46	403.46	2
586	1	31085481	46	543.74	1
587	1	31094978	47	434.37	1
588	1	31094978	47	447.79	1
589	1	31094978	47	381.92	1
590	1	31094978	47	409.79	1
591	1	31094978	47	482.7	1
592	1	31094978	47	288.95	1
593	1	31094978	47	469.1	1
594	1	31094978	47	246.21	1
595	1	31094978	47	399.93	1
596	1	31094978	47	344.44	1
597	1	31094978	47	327.97	1
598	1	31094978	47	496.94	1
599	1	31094978	47	663.39	1
600	1	31094978	47	414.62	1
601	1	31094978	47	356.55	1
602	1	31094978	47	510.48	1
603	1	31094978	48	367.03	1
604	1	31094978	48	560.23	1
605	1	31094978	48	412.22	2
606	1	31094978	48	365.04	2
607	1	31094978	48	451.77	2
608	1	31094978	48	497.03	2
609	1	31094978	48	465	2
610	1	31094978	48	450.97	2
611	1	31094978	48	423.65	2
612	1	31094978	48	372.19	2
613	1	31094978	48	435.05	2
614	1	31094978	48	472.91	2
615	1	31094978	48	484.57	2
616	1	31094978	48	495.59	2
617	1	31094978	48	494.31	2
618	1	31094978	48	441.88	2
619	1	31094978	48	360.61	2
620	1	31094978	48	451.77	2
621	1	31094978	48	453.77	2
622	1	31094978	48	453.77	2
623	1	31094978	48	582.55	2
624	1	31094978	48	478.78	2
625	1	31094978	48	390.51	1
626	1	31140341	49	484.06	1
627	1	31140341	49	524.28	1
628	1	31140341	49	524.28	1
629	1	31140341	49	452.15	1
630	1	31140341	49	552.47	1
631	1	31140341	49	534.68	1
632	1	31140341	49	545.63	1
633	1	31140341	49	570.33	1
634	1	31140341	49	579.51	1
635	1	31140341	49	564.25	1
636	1	31140341	49	587.27	1
637	1	31140341	49	686.55	1
638	1	31140341	49	506.3	1
639	1	31140341	49	454.11	1
640	1	31140341	49	494.68	1
641	1	31140341	49	478.19	1
642	1	31140341	49	587.27	1
643	1	31140341	49	388.52	1
644	1	31140341	49	686.55	2
645	1	31140341	49	506.42	2
646	1	31140341	49	466.59	2
647	1	31140341	49	464.47	2
648	1	31140341	49	432.7	2
649	1	31140341	49	511.28	2
650	1	31140341	49	441.37	2
651	1	31140341	49	528.53	2
652	1	31140341	49	394.81	2
653	1	31140341	49	469.2	2
654	1	31140341	49	460.16	2
655	1	31140341	49	467.94	2
656	1	31140341	49	542.87	2
657	1	31140341	49	518.41	2
658	1	31140341	49	488.13	2
659	1	31140341	49	467.97	2
660	1	31140341	49	446.56	2
661	1	31140341	49	510.6	2
662	1	31140341	49	514.23	2
663	1	31140341	49	537.32	2
664	1	31140473	50	567.42	1
665	1	31140473	50	591.8	1
666	1	31140473	50	586.27	1
667	1	31140473	50	637.43	1
668	1	31140473	50	560.29	1
669	1	31140473	50	575.03	1
670	1	31140473	50	528.52	1
671	1	31140473	50	516.81	1
672	1	31140473	50	568.14	1
673	1	31140473	50	529.5	1
674	1	31140473	50	591.8	1
675	1	31140473	50	564.71	1
676	1	31140473	50	591.8	1
677	1	31140473	50	591.8	1
678	1	31140473	50	637.43	1
679	1	31140473	50	554.03	1
680	1	31140473	50	508.83	1
681	1	31140473	50	558.98	1
682	1	31140473	51	591.8	1
683	1	31140473	51	637.43	2
684	1	31140473	51	505.94	2
685	1	31140473	51	478.84	2
686	1	31140473	51	551.63	2
687	1	31140473	51	571.32	2
688	1	31140473	51	569.12	2
689	1	31140473	51	538.87	2
690	1	31140473	51	475.29	2
691	1	31140473	51	472.45	2
692	1	31140473	51	416.89	2
693	1	31140473	51	529.55	2
694	1	31140473	51	641.77	2
695	1	31140473	51	641.77	2
696	1	31140473	51	502.16	2
697	1	31140473	51	476.43	2
698	1	31140473	51	364.79	2
699	1	31140597	52	512.97	2
700	1	31140597	52	660.74	2
701	1	31140597	52	667.57	2
702	1	31140597	52	634.12	2
703	1	31140597	52	610.53	1
704	1	31140597	52	634.12	1
705	1	31140597	52	703.76	1
706	1	31140597	52	703.76	1
707	1	31140597	52	660.74	1
708	1	31140597	52	634.12	1
709	1	31140597	52	569.71	1
710	1	31140597	52	667.57	1
711	1	31140597	52	667.57	1
712	1	31140597	52	589.24	1
713	1	31140597	52	602.22	1
714	1	31140597	52	703.76	1
715	1	31140597	52	703.76	1
716	1	31140597	52	634.12	1
717	1	31140597	52	660.74	1
718	1	31140597	52	667.57	1
719	1	31140597	53	401.04	1
720	1	31140597	53	432.07	1
721	1	31140597	53	601.2	1
722	1	31140597	53	601.2	2
723	1	31140597	53	547.75	2
724	1	31140597	53	377.97	2
725	1	31140597	53	473.2	2
726	1	31140597	53	446.12	2
727	1	31140597	53	587.05	2
728	1	31140597	53	587.05	2
729	1	31140597	53	661.43	2
730	1	31140597	53	558.56	2
731	1	31140597	53	601.2	2
732	1	31140597	53	601.2	2
733	1	31140597	53	592.17	2
734	1	31140597	53	522.5	2
735	1	31140597	53	522.5	2
736	1	31140597	53	522.5	2
737	1	31140597	53	532.14	2
738	1	31140597	53	580.79	2
739	1	31140597	53	547.75	2
740	1	31140597	53	499.45	2
741	1	31140597	53	547.75	2
742	1	31140597	53	342.31	1
743	1	31140597	53	547.45	1
744	1	31140597	53	557.65	1
745	1	31140597	53	557.65	1
746	1	31140767	54	598.53	1
747	1	31140767	54	598.53	1
748	1	31140767	54	443.2	1
749	1	31140767	54	477.82	1
750	1	31140767	54	502.54	1
751	1	31140767	54	423.78	1
752	1	31140767	54	513.76	1
753	1	31140767	54	560.1	1
754	1	31140767	54	569.37	1
755	1	31140767	54	522.37	1
756	1	31140767	54	598.53	1
757	1	31140767	54	518	1
758	1	31140767	54	450.44	1
759	1	31140767	54	532.47	1
760	1	31140767	54	587.76	1
761	1	31140767	54	493.83	2
762	1	31140767	54	445.62	2
763	1	31140767	54	562.35	2
764	1	31140767	54	584.71	2
765	1	31140767	54	582.42	2
766	1	31140767	54	582.42	2
767	1	31140767	54	563.05	2
768	1	31140767	54	407.73	2
769	1	31140848	55	652.71	2
770	1	31140848	55	652.71	2
771	1	31140848	55	586.45	2
772	1	31140848	55	652.71	2
773	1	31140848	55	652.71	2
774	1	31140848	55	525.41	2
775	1	31140848	55	570.45	2
776	1	31140848	55	553.78	2
777	1	31140848	55	559.41	2
778	1	31140848	55	652.71	2
779	1	31140848	55	652.71	2
780	1	31140848	55	585.66	2
781	1	31140848	55	652.71	1
782	1	31140848	55	652.71	1
783	1	31140848	55	610.84	1
784	1	31140848	55	611.44	1
785	1	31140848	55	464.4	1
786	1	31140848	55	334.51	1
787	1	31140848	55	663.93	1
788	1	31140848	55	620.45	1
789	1	31140848	55	499.09	1
790	1	31140848	55	330.57	1
791	1	31140848	55	663.93	1
792	1	31140848	55	590.17	1
793	1	31140848	55	469.44	1
794	1	31140848	55	603.55	1
795	1	31140848	55	693.21	1
796	1	31140848	55	693.21	1
797	1	31140848	55	693.21	1
798	1	31140848	55	616.72	1
799	1	31140899	56	527.88	1
800	1	31140899	56	491.06	2
801	1	31140899	56	381.79	2
802	1	31140899	56	456.2	2
803	1	31140899	56	677.3	2
804	1	31140899	56	451.66	2
805	1	31140899	56	571.83	2
806	1	31140899	56	375.89	2
807	1	31140899	56	508.38	2
808	1	31140899	56	414.44	2
809	1	31140899	56	506.8	2
810	1	31140899	56	538.11	2
811	1	31140899	56	581.05	2
812	1	31140899	56	373.98	2
813	1	31140899	56	404	2
814	1	31140899	56	424.91	2
815	1	31140899	56	533.76	2
816	1	31140899	56	476.43	2
817	1	31140899	56	703.13	2
818	1	31140899	56	703.13	2
819	1	31140899	56	703.13	2
820	1	31140899	56	567.97	1
821	1	31140899	56	516.44	1
822	1	31140899	56	604.88	1
823	1	31140899	56	558.71	1
824	1	31140899	56	439.28	1
825	1	31140899	57	517.05	1
826	1	31140899	57	552.5	1
827	1	31140899	57	651.95	1
828	1	31140899	57	526.05	1
829	1	31140899	57	651.95	1
830	1	31140899	57	614.45	1
831	1	31140899	57	600.83	1
832	1	31140899	57	600.83	1
833	1	31140899	57	492.02	1
834	1	31140899	57	651.95	1
835	1	31140899	57	651.95	1
836	1	31140899	57	564.13	1
837	1	31140899	57	443.14	1
838	1	31140899	57	567.67	1
839	1	31141135	58	532.34	2
840	1	31141135	58	526.42	2
841	1	31141135	58	538.51	2
842	1	31141135	58	527.07	2
843	1	31141135	58	613.83	2
844	1	31141135	58	531.62	2
845	1	31141135	58	587.87	2
846	1	31141135	58	499.7	2
847	1	31141135	58	501.92	2
848	1	31141135	58	522.17	2
849	1	31141135	58	511.7	2
850	1	31141135	58	564.77	2
851	1	31141135	58	631.38	2
852	1	31141135	58	532.86	2
853	1	31141135	58	499.5	2
854	1	31141135	58	526.48	2
855	1	31141135	58	577.88	2
856	1	31141135	58	518.87	2
857	1	31141135	58	472	2
858	1	31141135	58	412.93	2
859	1	31141135	58	457.23	1
860	1	31141135	58	375.91	1
861	1	31141135	58	400.27	1
862	1	31141135	58	543.98	1
863	1	31141135	58	584.37	1
864	1	31141135	58	563.5	1
865	1	31141135	58	550.88	1
866	1	31141135	58	630.63	1
867	1	31141135	58	574.3	1
868	1	31141135	58	675.97	1
869	1	31141135	58	675.97	1
870	1	31141135	58	675.97	1
871	1	31141135	58	675.97	1
872	1	31141135	58	675.97	1
873	1	31141135	58	630.63	1
